,App,content,emojis,pos_ux,neg_ux,pos_ppl,neg_ppl,price,fraud,ban,good_match,bad_match,pos_sent,neg_sent,neut_sent
,Tinder,Best app ever,0,,0,0,0,0,0,0,0,0,1,0,0
,Tinder,Went to log on and use tinder only to find I've been banned no explanation of what I did or said went to appeals center and said violation is listed as expired sad banned for no reason,0,,0,0,0,0,0,1,0,0,0,1,0
,Tinder,"My profile got locked for no apparent reason and I had to do a face verification, which has now been locked for 10 days ""pending review"" and this is as a Gold member!!! 😵‍💫 So bad",1,,1,0,0,1,0,0,0,0,0,1,0
,Tinder,"I give one star only for the shadow ban. It can't be that for all this time and after a huge number of super likes, no one responded. There are much fewer people in badoo, but many more coincidences. Draw your own conclusions. Absolutely scam",0,,0,0,0,0,0,1,0,1,0,1,0
,Tinder,I can't open my account I don't know why and they show this to me error,0,,1,0,0,0,0,0,0,0,0,1,0
,Tinder,lots of fake profiles - very expensive for such little ROI.,0,,0,0,0,1,1,0,0,0,0,1,0
,Hinge,"I can only go off my experience. Far from perfect, but it has certainly done the job I needed it to. That's all I asked.",0,1,0,0,0,0,0,0,0,0,0,0,1
,Hinge,Banned a real profile???????,0,,0,0,0,0,0,1,0,0,0,1,0
,Hinge,"Doesn't give you enough likes to do anything, these dating apps are getting really greedy...",0,,1,0,0,1,0,0,0,0,0,1,0
,Hinge,Just a game,0,,0,0,0,0,0,0,0,0,0,0,0
,Hinge,not bad,0,,0,0,0,0,0,0,0,0,0,0,1
,Hinge,I met someone amazing,0,,0,1,0,0,0,0,0,0,1,0,0
,Bumble,"I'm very disappointed and frustrated with Bumble. Unbeknownst to me, and at random times, when I'd swiped right on someone of interest, their profile would not port over to my chat page, and even worse, they would never reappear. I reached out to Bumble five times about this issue. They did respond, but the problem was not fixed. Considering how much I paid for Bumble Premium, I'm not satisfied with the platform and will not be renewing my subscription.",0,,1,0,0,1,0,0,0,0,0,1,0
,Bumble,STAY AWAY FROM THIS APP. STILLING MONEY. CANCEL MY SUBSCRIPTION NOW,0,,0,0,0,1,0,0,0,0,0,1,0
,Bumble,"Discusting how they monetize this app.. oh someone likes me, give us money to see. Manipulating the most basic human wants.",0,,0,0,0,1,0,0,0,0,0,1,0
,Bumble,good,0,,0,0,0,0,0,0,0,0,1,0,0
,Bumble,"One should have the chance to SEE one's LIKES and their LOCATION before paying to do so. Who wants to pay to see women outside one's basic design parameters (or state). Inefficient and meretricious. Waste of time for men at any rate. Bumble replies that they'd welcome any suggestions. Well, SEE ABOVE.",0,,1,0,0,1,0,0,0,1,0,1,0
,Bumble,After 2 years of use I've met nobody,0,,0,0,0,0,0,0,0,1,0,1,0
,Her,"Inclusive, welcoming and easy to use.",0,1,0,0,0,0,0,0,0,0,1,0,0
,Her,It's keeps cutting me off saying my account is on hold but it's my first time registering,0,,1,0,0,0,0,1,0,0,0,1,0
,Her,I've been blocked from this app. I dont know why 🤔,1,,0,0,0,0,0,1,0,0,0,1,0
,Her,Only been using the app for a couple of weeks. So it's seems a genuine app and met and friends with Non-Binary people like my self.,0,1,0,1,0,0,0,0,1,0,1,0,0
,Her,"Went for the free trial and had no notification that it was ending and that I would be automatically charged for a month's paid subscription, feel like I've been slightly scammed out of £25. Decent app but beware the free trial.",0,,1,0,0,1,0,0,0,0,0,1,0
,Her,"I had very bad experience with this app, wouldn't recommend it to anyone.",0,,0,0,0,0,0,0,0,0,0,1,0
,Zoe,nice)ll L0,0,,0,0,0,0,0,0,0,0,1,0,0
,Zoe,"I feel like cheated as after watch the advertisement I suppose have a chance to send one msg out but it's keep ask to subscribe. Limited view, not much information on each user (their sexuality), distance incorrect. Other chat app have trial 7days before they subscribe but this don't have. If no trial how do users will know this app is good. Probably another scam app who keep asking you to paid for each function. Yet to test already feel cheated. If ppl don't subscribe watch advertisement",0,,1,0,0,1,0,0,0,1,0,1,0
,Zoe,Very nice app it open for everyone you can who you real want to bee simple and easy to use,0,1,0,0,0,0,0,0,0,0,1,0,0
,Zoe,Excellent,0,0,0,0,0,0,0,0,0,0,1,0,0
,Zoe,Paid,0,0,0,0,0,1,0,0,0,0,0,0,0
,Zoe,The best app,0,,0,0,0,0,0,0,0,0,1,0,0
,Grindr,"Somehow, this app has become more and more broken with each additional update -- ""unable to load"" and ""unable to determine location"" are common error messages, despite a full WiFi signal. Messages fail to load unless the app is closed/opened several times. Ads appear while typing messages, which seems like a scam to increase revenue from a ""cost-per-click"" ad model. Very classy. This is on top of a removal of features that used to be available for free. Why would anyone pay for a broken app?",0,,1,0,0,0,0,0,0,0,0,1,0
,Grindr,"The app is constantly plagued by glitches and bugs that don't get resolved until multiple updates down the line, including inability to detect location, conversations disappearing then reappearing, crashes, etc. An app profiting off of loneliness has no incentive to improve because they know people will use it regardless.",0,,1,0,0,1,0,0,0,0,0,1,0
,Grindr,It was slow,0,,1,0,0,0,0,0,0,0,0,1,0
,Grindr,Scary,0,,0,0,0,0,0,0,0,0,0,1,0
,Grindr,TOTAL BANNED GRINDER IN THE PHILS.. WORST APP.. PEOPLE WERE CREATING HUNDREDS.. THOUSANDS OF ACCOUNTS BECAUSE GRINDER IS KEPYAS ON BANNING USER.. CALL OUT GRINDER.. GET OUT HERE IN THE PHILS IF YOU KEEP ON DOING IT.. WASTE OF MONEY.. MONEY MONEY,0,,1,0,0,1,1,1,0,0,0,1,0
,Grindr,I can't log in,0,,1,0,0,0,0,0,0,0,0,1,0
,Scruff,User friendly minimal advertisements for nonsubscription users,0,1,0,0,0,0,0,0,0,0,1,0,0
,Scruff,Flipping thing has been updated - but won't acknowledge it has been updated - keeps asking to update - needs updating,0,,1,0,0,0,0,0,0,0,0,1,0
,Scruff,Straight forward to use,0,1,0,0,0,0,0,0,0,0,1,0,0
,Scruff,"Its okay now, thanks. Ive talk to people now",0,,0,0,0,0,0,0,1,0,0,0,1
,Scruff,Some of the guys are OK but some do not put profile pic on and wrong age si I feel Some are saying they arr not putting there real age and Some random picture and not real one.,0,,0,0,0,0,1,0,0,1,0,1,0
,Scruff,"Get rid of the pop-up ads. They are the sole reason I rarely use this app. Use a banner ad. They are not invasive. I will continue giving your app bad reviews & bad ratings until your stupid pop-up ads are gone. Everyone should move to growlr, which has no pop-up ads....................",0,,1,0,0,0,0,0,0,0,0,1,0
,Taimi,Good,0,,0,0,0,0,0,0,0,0,1,0,0
,Taimi,"While the ap is more gay and enm friendly, 90% of matches are the strightest cis males and the ap is formatted for hook ups.",0,,1,0,0,0,0,0,0,1,0,1,0
,Taimi,"This app has become effectively useless unless you're willing to pay a subscription fee. If you're taking a passive approach, and just want to throw your profile up and let people come to you, find a different app. If you're actively looking, and don't think you'll need the subscription long, it might be worth it for you... but you still have to hope people you ""like"" have the ability to see/reply to you. 🤷‍♂️",1,,1,0,0,1,0,0,0,0,0,1,0
,Taimi,"interface is kinda overwhelming. chats are easy to make, but the people who can like you aren't limited to the age range you set up. very creepy vibes on here",0,,1,0,0,0,0,0,0,1,0,1,0
,Taimi,Love it,0,,0,0,0,0,0,0,0,0,1,0,0
,Taimi,This app keeps banning me because I don't look the same in all my pics. They discriminate even tho I am verified. This app sucks. I will be reporting it.,0,,0,0,0,0,0,1,0,0,0,1,0
,Millionaire Match,Really like this awesome amazing app and think it's the best ever,0,1,0,0,0,0,0,0,0,0,1,0,0
,Millionaire Match,Good,0,,0,0,0,0,0,0,0,0,1,0,0
,Millionaire Match,"This app is a dater. A real grand top of 5 you pay, cut cost, and enjoy long high lived conversations with a ton of people!",0,,0,1,0,0,0,0,1,0,1,0,0
,Millionaire Match,Love the app works great thanks,0,1,0,0,0,0,0,0,0,0,1,0,0
,Millionaire Match,"I have tried to set an account up for a couple of weeks now. I get a portion through the countless questions, & I get booted off. Tonight, I re-download the app (instead of using the website) to try again. Same thing, booted off, except this time I was told my account was ""suspended upon investigation"". Then I received an email saying ""permanently banned due to violations"", & their decision was final case closed. Ummm, excuse me? This one is a joke! Thank God I didn't enter my payment info yet.",0,,1,0,0,0,0,1,0,0,0,1,0
,Millionaire Match,Fabulous,0,,0,0,0,0,0,0,0,0,1,0,0
,Luxy,"Luxy is filtered by government here and we have to use vpn but now when we will use vpn luxy won't accept you to inter, Is this fair?",0,,1,0,0,0,0,0,0,0,0,1,0
,Luxy,I am waiting for my experiences in this app,0,,0,0,0,0,0,0,0,0,0,0,1
,Luxy,"Great app with quality matches. Hi Luxy product team, please include the ability to filter matches and messages by location. if a user has any number of matches for example, the should be able to see which of them are in London or any city.",0,,1,0,0,0,0,0,1,0,1,0,0
,Luxy,"Stuff your dumb app. What sort of slogan is ""Tinder minus poor people"". Who're you to shame the bad circumstances of others and attempt to make some snobbish, elitist ""dating"" app? Oh and I'd have thought an app supposedly for the rich would have better developers. It runs like something I made back in college.",0,,1,0,0,0,0,0,0,0,0,1,0
,Luxy,Easy to install and fill out profile,0,1,0,0,0,,0,0,0,0,1,0,0
,Luxy,"This app is a scam, a few days after I paid for 1 month, I was told my account was disabled for no reason at all. I sent an email to the support team and nothing. I have said I want a refund as I have not used app for 1 week. I'm take back my 1 star. I give 0 star. Just you can't physically leave 0",0,,1,0,0,1,0,1,0,0,0,1,0
,League,"$99 a week for a dating app, but you can't actually see if there are any profiles in your area until you join our you make it through the wait list of 13,000 people in a city of under 300,000. Seems like a complete scam.",0,,1,0,0,1,0,0,0,0,0,1,0
,League,"32,000 on a wait list that hasnt budged in a month.... or $99/week... you gotta be kidding me. Just another in a long line of apps that make me now hate online dating. And I can't even try it...",0,,1,0,0,1,0,0,0,0,0,1,0
,League,Overpriced. Poor quality matches. It's a scam. Don't bother.,,,0,0,0,1,0,0,0,1,0,1,0
,League,"I got sent an ""invite"" to this app on Bumble, but it still shoves me in a waitlist. What's the point of a dating app that won't let you use it? It wouldn't even let me see my position on the wait list until I signed up for text alerts.",0,,1,0,0,0,0,0,0,0,0,1,0
,League,"This app used to be good a couple years ago. But now the quality of the matches are abysmal, no one even uses it anymore. My group of prospects are from hundreds of miles away from me, and I live in Chicago.",0,,0,0,0,0,0,0,0,1,0,1,0
,League,"Got ""called up to the league"" from ok Cupid. I get it, I'm a doctor, this makes sense to me to find other professionals to date. Thanks for the invitations guys. But whoops, I'm on a wait-list of 12,000 people. So really the invite was a money ploy. Plus, I don't use linked in, I'm career actualized, I have no reason to use it. This is misleading, and in addition I highly doubt there are 12,000 men in my area that are of my quality (I know this sounds arrogant, but it's the case.)",0,,1,0,0,1,0,0,0,0,0,1,0
,Christian_Mingle,Canceling is almost impossible!,0,,1,0,0,0,0,0,0,0,0,1,0
,Christian_Mingle,"This is one of the worst dating apps. It's very glitchy, and it's impossible to view the profile of matches. The photos don't always reveal themselves correctly. Such a waste of money. It's sad because it would have been a great way to find other people of faith.",,,1,,,1,,,,,,1,
,Christian_Mingle,capcha doesn't work keeps saying unable verify,0,,1,0,0,0,0,0,0,0,0,1,0
,Christian_Mingle,Horrible app. I hate I paid for it. Never again,0,,0,0,0,1,0,0,0,0,0,1,0
,Christian_Mingle,"I think this is an inefficient use of money a far as the goal of connecting genuinely with someone goes; at least the ""Christian"" aspect seems very dubious to me and CDFF offers essentially the same platform for... FREE! I just don't understand the egregious prices if their actual goal is to help people meet & glorify God. It seems like profit is their main agenda, and it feels like everything is based around that. I don't get that vibe from CDFF at all though.",0,,0,0,0,1,0,0,0,0,0,1,0
,Christian_Mingle,Regret spending my money but they will not let me stop auto renewal on the app. This is by far one of the worst purchases I've made in a look time. The app feels like something from prehistoric internet days. It's so glitch and disfunctional.,0,,1,0,0,1,0,0,0,0,0,1,0
,Muzz,People on Muzz are very non serious.,0,,0,0,1,0,0,0,0,0,0,1,0
,Muzz,I had deleted my account from this app but they still deduct my money.bloody scammers worst experience I want my money back ..... There is no support team where any customers can launch the complaints....,0,,1,0,0,1,0,0,0,0,0,1,0
,Muzz,Best app for Pakistani girls,0,,0,0,0,0,0,0,0,0,1,0,0
,Muzz,Best apps ever,0,,0,0,0,0,0,0,0,0,1,0,0
,Muzz,"I would be great if liked profiles slows randomly, i mean not by date, also i can't see other pictures of profiles it takes too much time to load and filtes does not work at all",0,,1,0,0,0,0,0,0,1,0,1,0
,Muzz,"No difference from Tinder, no one is serious. Only chatting, ghosting, and dating. Nothing halal here, save your time from this BS.",0,,0,0,1,0,0,0,0,0,0,1,0
,Ringle,"Doesn't allow access at all, constant bugs , constant issues",0,,1,0,0,0,0,0,0,0,0,1,0
,Ringle,Very good app.,0,,0,0,0,0,0,0,0,0,1,0,0
,Ringle,"Awful app that isn't debugged. The matches and messages aren't always refreshed automatically and I don't get notifications. This means that I have to periodically open the app and drag to refresh inside the app to find out if I have anything. I've complained months ago and it's still an issue that they are ""supposedly working on and it takes time"". Not only that, it's now constantly ""loading"" so I can't see any profiles with which to swipe. I've tried logging out and back in and reinstalling it",0,,1,0,0,0,0,0,0,0,0,1,0
,Ringle,Good,0,,0,0,0,0,,0,0,0,1,0,0
,Ringle,"I was able to pay for a membership on my phone, but could not find how to create a profile or to do anything else. So far, pretty worthless - you take my money but I can't do anything! Is it only supposed to work on my phone, or can it work on my computer also?",0,,1,0,0,1,0,0,0,0,0,1,0
,Ringle,No women,0,,0,0,0,0,0,0,0,1,0,1,0
,Mutual,Very hard to talk to someone.,0,,0,0,0,0,0,0,0,1,0,1,0
,Mutual,"It's a great platform to meet honest people who have and share like values, morals, and beliefs...",0,,0,1,0,0,0,0,1,0,1,0,0
,Mutual,"best LDS dating app/site. Having had my firstborn at 19, I'm one of the few 30 something year olds with grown up kids and/or teenagers which makes it difficult finding a match. can't believe how many 40 year olds there are with no children. however, the women on this site are the best on the planet, so it's worth keeping temple covenants and wait a few more years. 8 out of 10",0,,0,0,0,0,0,0,1,0,1,0,0
,Mutual,"Daily swipe limits continue to decrease, while average matches has never changed. (Hardly no matches fyi, and when you do no one messages). You could always pay a ridiculously high price for a membership though to help matches...",0,,1,0,0,1,0,0,0,1,0,1,0
,Mutual,"These dirty scum bags make it very difficult to unsubscribe. They hide the unsubscibe button so deep, good luck finding it. Scummy business practices, just because they're a Christian app does not mean they won't try to screw you.",0,,1,0,0,1,0,0,0,0,0,1,0
,Mutual,$71 for a subscription to an app where no one ever replies back. I got scammed. Not to mention you can't even DM someone unless they like you back. That completely defeats the purpose of connecting. How do you know if you like them if you can't talk to them? Whoever owns this app is a scam artist.,0,,1,0,0,1,0,0,0,0,0,1,0
,Senior_Match,Awesome! It feels more real thsn others.,0,1,0,0,0,0,0,,0,0,1,0,0
,Senior_Match,I had a little bit of hard time navigating I didn't know when. I just wanted to glance at somebody and look through them and then maybe can go back and say oh. I think I like that other guy that I looked at but you can't do it on this app. That's why I gave you four stars,0,,1,0,0,0,0,0,0,0,0,1,0
,Senior_Match,Best dating app,0,,0,0,0,0,0,0,0,0,1,0,0
,Senior_Match,This is an awesome app with millions of selection around the world. No hikups or disconnection. Enough free winks per day and likes unlimited. With min sum and subscription you will find your soulmate for sure 👍😊,1,,0,0,0,0,0,0,1,0,1,0,0
,Senior_Match,"No matchs, because only 2 profile came and felt like either was scammer or or AI",0,,0,0,0,0,1,0,0,1,0,1,0
,Senior_Match,"This app seems to just gather your information. Your pictures you post, your ID (claiming ""there was suspicious activity""), etc. It then suspends your account (who know if this app kept your profile up with your pictures. Also looking for a picture on camera roll is inefficient. It makes you go through your ENTIRE camera roll and no option to select a folder to look through.",0,,1,0,0,0,0,1,0,0,0,1,0
,Ourtime,I haven't been able to talk to anyone,0,,0,0,0,0,0,0,0,1,0,1,0
,Ourtime,Just joined,0,,0,0,0,0,0,0,0,0,0,0,1
,Ourtime,Supply lots of information and the quality of returns is awful most of the people they have sent me live 100 mi away or more,0,,0,0,0,0,0,0,0,1,0,1,0
,Ourtime,So far so good easy and and to the point,,1,,,,,,,,,1,,
,Ourtime,Doesn't stick to my deal breaker preference,0,,1,0,0,0,0,0,0,1,0,1,0
,Ourtime,I've had very good experiences on this app.It is a great app for older people looking for a match in love ❤️,1,1,0,0,0,0,0,0,1,0,1,0,0